,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,month_sold,age
0,3,1.0,1180,1.0,0.0,0.0,3,7,10,67
1,3,2.25,2570,2.0,0.0,0.0,3,7,12,71
2,2,1.0,770,1.0,0.0,0.0,3,6,2,89
3,4,3.0,1960,1.0,0.0,0.0,5,7,12,57
4,3,2.0,1680,1.0,0.0,0.0,3,8,2,35
5,4,4.5,5420,1.0,0.0,0.0,3,11,5,21
6,3,2.25,1715,2.0,0.0,0.0,3,7,6,27
7,3,1.5,1060,1.0,0.0,0.0,3,7,1,59
8,3,1.0,1780,1.0,0.0,0.0,3,7,4,62
9,3,2.5,1890,2.0,0.0,0.0,3,7,3,19
10,3,2.5,3560,1.0,0.0,0.0,3,8,4,57
11,2,1.0,1160,1.0,0.0,0.0,4,7,5,80
12,3,1.0,1430,1.5,0.0,0.0,4,7,5,95
13,3,1.75,1370,1.0,0.0,0.0,4,7,10,45
14,5,2.0,1810,1.5,0.0,0.0,3,7,3,122
15,4,3.0,2950,2.0,0.0,3.0,3,9,1,43
16,3,2.0,1890,2.0,0.0,0.0,3,7,7,28
17,4,1.0,1600,1.5,0.0,0.0,4,7,5,106
18,2,1.0,1200,1.0,0.0,0.0,4,7,12,101
19,3,1.0,1250,1.0,0.0,0.0,4,7,4,53
20,4,1.75,1620,1.0,0.0,0.0,4,7,5,75
21,3,2.75,3050,1.0,0.0,4.0,3,9,8,54
22,5,2.5,2270,2.0,0.0,0.0,3,8,7,27
23,2,1.5,1070,1.0,0.0,0.0,3,7,5,37
24,3,2.25,2450,2.0,0.0,0.0,4,8,11,37
25,3,2.0,1710,1.5,0.0,0.0,5,6,11,81
26,3,1.75,2450,2.0,0.0,0.0,3,8,6,107
27,3,1.0,1400,1.5,0.0,0.0,5,8,12,113
28,3,1.75,1520,1.0,0.0,0.0,3,7,6,74
29,4,2.5,2570,2.0,0.0,0.0,3,8,3,17
30,3,2.5,2320,2.0,0.0,0.0,3,8,11,19
31,2,1.5,1190,3.0,0.0,0.0,3,7,12,17
32,4,1.75,2330,1.5,0.0,0.0,4,7,6,93
33,3,1.0,1090,1.5,0.0,0.0,4,8,11,93
34,4,2.75,2060,1.0,0.0,0.0,3,7,12,41
35,3,2.5,2300,1.5,0.0,0.0,3,8,6,92
