,bedrooms,bathrooms,log_sqft_living,sqft_above,sqft_living15,floors,waterfront,view,condition,grade,month_sold,age
0,3,1.0,6.633318433280377,760,1020,1.0,0.0,0.0,2,5,9,119
1,2,1.5,7.047517221357296,1150,1910,1.0,0.0,1.0,3,7,3,78
2,3,1.0,7.251344983372214,1410,1610,1.0,0.0,0.0,5,7,4,62
3,4,3.0,8.048788283534199,1750,2080,1.5,0.0,0.0,3,7,7,69
4,4,2.75,7.975908360165538,1780,2920,1.0,0.0,2.0,3,8,7,47
5,3,1.0,7.07326971745971,1180,1180,1.0,0.0,0.0,3,6,2,78
6,4,2.5,7.757906208351747,2340,1730,2.0,0.0,0.0,3,8,6,14
7,3,1.5,7.090076835776092,1200,1510,1.0,0.0,0.0,4,7,6,60
8,1,1.0,6.492239835020471,660,1520,1.0,0.0,0.0,3,6,4,116
9,2,1.0,6.7912214627261855,890,1160,1.0,0.0,0.0,4,6,11,75
10,4,2.5,7.919356190660617,2750,2750,2.0,0.0,0.0,3,10,7,23
11,4,2.5,7.731930721948486,2280,2180,2.0,0.0,0.0,4,8,8,35
12,4,1.0,7.138866999945524,1260,1639,1.5,0.0,0.0,3,7,2,75
13,2,1.0,6.802394763324311,900,1270,1.0,0.0,0.0,3,7,12,75
14,3,1.75,7.326465613840322,1170,1550,1.0,0.0,0.0,3,7,12,69
15,3,2.25,7.506591780070841,1280,1810,1.0,0.0,0.0,3,7,1,55
16,3,2.5,7.948031990637284,2830,1780,3.0,0.0,0.0,3,10,8,8
17,2,1.0,6.7912214627261855,890,1460,1.0,0.0,0.0,3,6,7,87
18,6,3.25,8.354674261918463,2150,3370,1.0,0.0,3.0,3,10,5,55
19,2,1.75,7.098375638590786,1210,1210,2.0,0.0,0.0,3,8,6,8
20,4,2.5,7.926602599181384,2770,2940,2.0,0.0,0.0,4,9,6,33
21,3,2.0,7.799753318287247,1640,1630,1.0,0.0,0.0,3,6,8,89
22,3,2.25,7.265429723253953,1430,1430,3.0,0.0,0.0,3,8,8,17
23,3,1.0,7.098375638590786,1210,1700,1.0,0.0,0.0,5,7,9,67
24,2,1.0,7.5443321080536885,1890,1670,1.5,0.0,0.0,4,7,5,113
25,4,2.5,7.709756864454165,1180,1860,1.0,0.0,0.0,4,7,9,41
26,3,1.0,7.177782416195197,1310,1530,1.0,0.0,0.0,3,7,3,88
27,2,2.5,6.887552571664617,670,980,2.0,0.0,0.0,3,8,5,13
28,5,2.5,7.948031990637284,1610,2670,1.0,0.0,1.0,5,8,12,43
29,3,2.5,7.512071245835466,1520,2100,1.0,0.0,0.0,3,8,6,31
30,3,2.5,8.210668031162976,2390,3570,1.0,0.0,0.0,3,10,7,37
31,4,1.0,7.038783541388542,1140,1630,1.0,0.0,2.0,3,7,7,106
32,3,1.0,7.1308988302963465,1250,1510,1.0,0.0,0.0,3,7,7,64
33,3,2.25,7.365180126021013,1220,1970,1.0,0.0,0.0,4,7,4,61
34,4,1.75,7.258412150595307,1080,1500,1.0,0.0,0.0,4,7,11,41
35,4,1.75,7.7664168980196555,2360,2290,1.0,0.0,0.0,4,9,10,48
36,4,2.5,7.779048644925556,2390,2600,2.0,0.0,0.0,3,9,11,23
37,2,1.75,6.937314081223682,765,1030,2.0,0.0,0.0,3,7,9,16
38,4,2.5,7.8119734296220225,1420,1670,1.0,0.0,0.0,3,7,8,37
39,3,1.75,7.1853870155804165,1320,1310,1.0,0.0,0.0,3,7,10,56
40,4,2.5,8.180320874773685,3570,3600,2.0,0.0,0.0,3,9,9,8
41,4,1.75,7.585788821732034,1220,1690,1.0,0.0,0.0,4,7,7,54
42,4,1.0,7.200424892944957,1340,1090,1.0,0.0,0.0,4,7,3,52
